AMD,Intel
3.5399999999999996,3.5899999999999994
3.726666666666666,3.443333333333333
3.5133333333333336,3.3999999999999995
3.703333333333333,3.5333333333333328
3.6,3.3633333333333337
3.56,3.4299999999999997
3.4966666666666657,3.3266666666666667
3.5799999999999996,3.36
3.67,3.416666666666667
3.493333333333333,3.4966666666666666
3.683333333333333,3.3833333333333333
3.4799999999999995,3.303333333333333
3.5966666666666662,3.5033333333333325
3.7033333333333336,3.343333333333333
3.583333333333333,3.4899999999999998
3.5600000000000005,3.4466666666666663
3.5766666666666667,3.353333333333333
3.6266666666666665,3.3733333333333326
3.4299999999999997,3.436666666666667
3.796666666666667,3.5566666666666658
3.5566666666666675,3.4166666666666665
3.523333333333334,3.323333333333333
3.556666666666666,3.373333333333333
3.46,3.3899999999999997
3.576666666666666,3.3966666666666665
3.6233333333333335,3.5233333333333334
3.7066666666666666,3.393333333333333
3.4699999999999998,3.4066666666666667
3.4666666666666672,3.4099999999999997
3.5933333333333333,3.4799999999999995
3.616666666666667,3.346666666666666
3.5566666666666666,3.6100000000000003
3.6533333333333338,3.45
3.6,3.506666666666666
3.5800000000000005,3.363333333333333
3.6033333333333335,3.4
3.4899999999999998,3.369999999999999
3.8000000000000003,3.4066666666666667
3.6566666666666667,3.54
3.6766666666666667,3.3999999999999995
3.556666666666667,3.416666666666666
3.5933333333333333,3.3899999999999992
3.576666666666667,3.3899999999999997
3.5999999999999996,3.4266666666666654
3.69,3.4099999999999997
3.6100000000000003,3.4299999999999997
3.496666666666667,3.4233333333333333
3.586666666666666,3.533333333333333
3.5800000000000005,3.5966666666666662
3.533333333333333,3.446666666666666
